Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1.70688E+12,02/02/2024 14:11,1.70686E+12,-7,02/02/2024 00:11,163181,2,task-ncut,,34733283,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1.70688E+12,02/02/2024 14:11,1.70686E+12,-7,02/02/2024 00:11,163181,2,task-ncut,,34733283,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,38398.6,38398.6,38398.6,38398.6,38398.6,38398.6,1,38398.6,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1.70688E+12,02/02/2024 14:23,1.70686E+12,-7,02/02/2024 00:23,163181,2,task-ncut,,34733283,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,729078.9,729078.9,729078.9,729078.9,729078.9,729078.9,1,729078.9,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1.70688E+12,02/02/2024 14:23,1.70686E+12,-7,02/02/2024 00:23,163181,2,task-ncut,,34733283,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,6195,13165.199999999953,13201.400000000023,13201.400000000023,13165.199999999953,13201.400000000023,13201.400000000023,1,13165.199999999953,36.20000000006985,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1.70688E+12,02/02/2024 14:23,1.70686E+12,-7,02/02/2024 00:23,163181,2,task-ncut,,34733283,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1.70688E+12,02/02/2024 14:13,1.70687E+12,-5,02/02/2024 04:13,163181,2,task-ncut,,34733420,7gk8p750,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1.70688E+12,02/02/2024 14:13,1.70687E+12,-5,02/02/2024 04:13,163181,2,task-ncut,,34733420,7gk8p750,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,36675.5,36675.5,36675.5,36675.5,36675.5,36675.5,1,36675.5,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1.70688E+12,02/02/2024 14:25,1.70687E+12,-5,02/02/2024 04:25,163181,2,task-ncut,,34733420,7gk8p750,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,728142.6,728142.6,728142.6,728142.6,728142.6,728142.6,1,728142.6,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1.70688E+12,02/02/2024 14:25,1.70687E+12,-5,02/02/2024 04:25,163181,2,task-ncut,,34733420,7gk8p750,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,9821,12927.5,19015.900000000023,19015.900000000023,12927.5,19015.900000000023,19015.900000000023,1,12927.5,6088.400000000023,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1.70688E+12,02/02/2024 14:25,1.70687E+12,-5,02/02/2024 04:25,163181,2,task-ncut,,34733420,7gk8p750,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
