"Participant.Private.ID","Participant.Status","gorillaExp","arm","Question.Key","Response","order","chatType","question","chat_condition","questionFull","bfi44_extraversion","bfi44_agreeableness","bfi44_conscientiousness","bfi44_neuroticism","bfi44_openness","chat","quest","aff_score"
11566059,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised",2,"Introvert first","Introvert","similar","pat_int","I felt that <br>we are similar",0.75,32,29,25,34,"Introvert","similar",-1
11566059,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised",1,"Introvert first","Extrovert","similar","pat_int","I felt that <br>we are similar",0.75,32,29,25,34,"Extrovert","similar",-2
11566059,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised",2,"Introvert first","Introvert","enjoy","pat_int","I enjoyed our <br>conversation",0.75,32,29,25,34,"Introvert","enjoy",-1
11566059,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised",1,"Introvert first","Extrovert","enjoy","pat_int","I enjoyed our <br>conversation",0.75,32,29,25,34,"Extrovert","enjoy",-2
11566059,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised",5,"Introvert first","Introvert","distant","pat_int","I felt distant <br>from them",0.75,32,29,25,34,"Introvert","distant",-2
11566059,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised",5,"Introvert first","Extrovert","distant","pat_int","I felt distant <br>from them",0.75,32,29,25,34,"Extrovert","distant",-2
11566059,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised",1,"Introvert first","Introvert","understood","pat_int","I felt that <br>they understood me",0.75,32,29,25,34,"Introvert","understood",-2
11566059,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised",1,"Introvert first","Extrovert","understood","pat_int","I felt that <br>they understood me",0.75,32,29,25,34,"Extrovert","understood",-2
11566059,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised",5,"Introvert first","Introvert","different","pat_int","I felt that they were <br>different from me",0.75,32,29,25,34,"Introvert","different",-2
11566059,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised",5,"Introvert first","Extrovert","different","pat_int","I felt that they were <br>different from me",0.75,32,29,25,34,"Extrovert","different",-2
11566059,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised",1,"Introvert first","Introvert","chat-again","pat_int","I would chat <br>with them again",0.75,32,29,25,34,"Introvert","chat-again",-2
11566059,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised",1,"Introvert first","Extrovert","chat-again","pat_int","I would chat <br>with them again",0.75,32,29,25,34,"Extrovert","chat-again",-2
11566066,"complete","A","A_1AlexExt_2PatInt","similar-alex-quantised",4,"Extrovert first","Extrovert","similar","alex_ext","I felt that <br>we are similar",0.75,30,31,23,35,"Extrovert","similar",1
11566066,"complete","A","A_1AlexExt_2PatInt","similar-pat-quantised",2,"Extrovert first","Introvert","similar","alex_ext","I felt that <br>we are similar",0.75,30,31,23,35,"Introvert","similar",-1
11566066,"complete","A","A_1AlexExt_2PatInt","enjoy-alex-quantised",4,"Extrovert first","Extrovert","enjoy","alex_ext","I enjoyed our <br>conversation",0.75,30,31,23,35,"Extrovert","enjoy",1
11566066,"complete","A","A_1AlexExt_2PatInt","enjoy-pat-quantised",3,"Extrovert first","Introvert","enjoy","alex_ext","I enjoyed our <br>conversation",0.75,30,31,23,35,"Introvert","enjoy",0
11566066,"complete","A","A_1AlexExt_2PatInt","distant-alex-quantised",2,"Extrovert first","Extrovert","distant","alex_ext","I felt distant <br>from them",0.75,30,31,23,35,"Extrovert","distant",1
11566066,"complete","A","A_1AlexExt_2PatInt","distant-pat-quantised",4,"Extrovert first","Introvert","distant","alex_ext","I felt distant <br>from them",0.75,30,31,23,35,"Introvert","distant",-1
11566066,"complete","A","A_1AlexExt_2PatInt","understood-alex-quantised",4,"Extrovert first","Extrovert","understood","alex_ext","I felt that <br>they understood me",0.75,30,31,23,35,"Extrovert","understood",1
11566066,"complete","A","A_1AlexExt_2PatInt","understood-pat-quantised",3,"Extrovert first","Introvert","understood","alex_ext","I felt that <br>they understood me",0.75,30,31,23,35,"Introvert","understood",0
11566066,"complete","A","A_1AlexExt_2PatInt","different-alex-quantised",2,"Extrovert first","Extrovert","different","alex_ext","I felt that they were <br>different from me",0.75,30,31,23,35,"Extrovert","different",1
11566066,"complete","A","A_1AlexExt_2PatInt","different-pat-quantised",4,"Extrovert first","Introvert","different","alex_ext","I felt that they were <br>different from me",0.75,30,31,23,35,"Introvert","different",-1
11566066,"complete","A","A_1AlexExt_2PatInt","chat-again-alex-quantised",4,"Extrovert first","Extrovert","chat-again","alex_ext","I would chat <br>with them again",0.75,30,31,23,35,"Extrovert","chat-again",1
11566066,"complete","A","A_1AlexExt_2PatInt","chat-again-pat-quantised",2,"Extrovert first","Introvert","chat-again","alex_ext","I would chat <br>with them again",0.75,30,31,23,35,"Introvert","chat-again",-1
11566067,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised",2,"Introvert first","Introvert","similar","pat_int","I felt that <br>we are similar",0.75,29,31,25,38,"Introvert","similar",-1
11566067,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised",4,"Introvert first","Extrovert","similar","pat_int","I felt that <br>we are similar",0.75,29,31,25,38,"Extrovert","similar",1
11566067,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised",3,"Introvert first","Introvert","enjoy","pat_int","I enjoyed our <br>conversation",0.75,29,31,25,38,"Introvert","enjoy",0
11566067,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised",5,"Introvert first","Extrovert","enjoy","pat_int","I enjoyed our <br>conversation",0.75,29,31,25,38,"Extrovert","enjoy",2
11566067,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised",2,"Introvert first","Introvert","distant","pat_int","I felt distant <br>from them",0.75,29,31,25,38,"Introvert","distant",1
11566067,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised",1,"Introvert first","Extrovert","distant","pat_int","I felt distant <br>from them",0.75,29,31,25,38,"Extrovert","distant",2
11566067,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised",3,"Introvert first","Introvert","understood","pat_int","I felt that <br>they understood me",0.75,29,31,25,38,"Introvert","understood",0
11566067,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised",5,"Introvert first","Extrovert","understood","pat_int","I felt that <br>they understood me",0.75,29,31,25,38,"Extrovert","understood",2
11566067,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised",4,"Introvert first","Introvert","different","pat_int","I felt that they were <br>different from me",0.75,29,31,25,38,"Introvert","different",-1
11566067,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised",1,"Introvert first","Extrovert","different","pat_int","I felt that they were <br>different from me",0.75,29,31,25,38,"Extrovert","different",2
11566067,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised",2,"Introvert first","Introvert","chat-again","pat_int","I would chat <br>with them again",0.75,29,31,25,38,"Introvert","chat-again",-1
11566067,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised",5,"Introvert first","Extrovert","chat-again","pat_int","I would chat <br>with them again",0.75,29,31,25,38,"Extrovert","chat-again",2
11566069,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised",4,"Introvert first","Introvert","similar","pat_int","I felt that <br>we are similar",0.875,28,30,21,36,"Introvert","similar",1
11566069,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised",5,"Introvert first","Extrovert","similar","pat_int","I felt that <br>we are similar",0.875,28,30,21,36,"Extrovert","similar",2
11566069,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised",4,"Introvert first","Introvert","enjoy","pat_int","I enjoyed our <br>conversation",0.875,28,30,21,36,"Introvert","enjoy",1
11566069,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised",5,"Introvert first","Extrovert","enjoy","pat_int","I enjoyed our <br>conversation",0.875,28,30,21,36,"Extrovert","enjoy",2
11566069,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised",2,"Introvert first","Introvert","distant","pat_int","I felt distant <br>from them",0.875,28,30,21,36,"Introvert","distant",1
11566069,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised",2,"Introvert first","Extrovert","distant","pat_int","I felt distant <br>from them",0.875,28,30,21,36,"Extrovert","distant",1
11566069,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised",4,"Introvert first","Introvert","understood","pat_int","I felt that <br>they understood me",0.875,28,30,21,36,"Introvert","understood",1
11566069,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised",4,"Introvert first","Extrovert","understood","pat_int","I felt that <br>they understood me",0.875,28,30,21,36,"Extrovert","understood",1
11566069,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised",2,"Introvert first","Introvert","different","pat_int","I felt that they were <br>different from me",0.875,28,30,21,36,"Introvert","different",1
11566069,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised",1,"Introvert first","Extrovert","different","pat_int","I felt that they were <br>different from me",0.875,28,30,21,36,"Extrovert","different",2
11566069,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised",4,"Introvert first","Introvert","chat-again","pat_int","I would chat <br>with them again",0.875,28,30,21,36,"Introvert","chat-again",1
11566069,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised",4,"Introvert first","Extrovert","chat-again","pat_int","I would chat <br>with them again",0.875,28,30,21,36,"Extrovert","chat-again",1
11566073,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised",5,"Introvert first","Introvert","similar","pat_int","I felt that <br>we are similar",0.71875,38,35,28,21,"Introvert","similar",2
11566073,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised",1,"Introvert first","Extrovert","similar","pat_int","I felt that <br>we are similar",0.71875,38,35,28,21,"Extrovert","similar",-2
11566073,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised",5,"Introvert first","Introvert","enjoy","pat_int","I enjoyed our <br>conversation",0.71875,38,35,28,21,"Introvert","enjoy",2
11566073,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised",2,"Introvert first","Extrovert","enjoy","pat_int","I enjoyed our <br>conversation",0.71875,38,35,28,21,"Extrovert","enjoy",-1
11566073,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised",1,"Introvert first","Introvert","distant","pat_int","I felt distant <br>from them",0.71875,38,35,28,21,"Introvert","distant",2
11566073,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised",5,"Introvert first","Extrovert","distant","pat_int","I felt distant <br>from them",0.71875,38,35,28,21,"Extrovert","distant",-2
11566073,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised",5,"Introvert first","Introvert","understood","pat_int","I felt that <br>they understood me",0.71875,38,35,28,21,"Introvert","understood",2
11566073,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised",2,"Introvert first","Extrovert","understood","pat_int","I felt that <br>they understood me",0.71875,38,35,28,21,"Extrovert","understood",-1
11566073,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised",1,"Introvert first","Introvert","different","pat_int","I felt that they were <br>different from me",0.71875,38,35,28,21,"Introvert","different",2
11566073,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised",5,"Introvert first","Extrovert","different","pat_int","I felt that they were <br>different from me",0.71875,38,35,28,21,"Extrovert","different",-2
11566073,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised",5,"Introvert first","Introvert","chat-again","pat_int","I would chat <br>with them again",0.71875,38,35,28,21,"Introvert","chat-again",2
11566073,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised",1,"Introvert first","Extrovert","chat-again","pat_int","I would chat <br>with them again",0.71875,38,35,28,21,"Extrovert","chat-again",-2
