"Participant.Private.ID","Participant.Status","gorillaExp","arm","Question.Key","Response","order","chatType","question","chat_condition","questionFull"
11566067,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised","3","Introvert first","Introvert","enjoy","pat_int","I enjoyed our <br>conversation"
11566067,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised","5","Introvert first","Extrovert","enjoy","pat_int","I enjoyed our <br>conversation"
11566067,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised","2","Introvert first","Introvert","distant","pat_int","I felt distant <br>from them"
11566067,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised","1","Introvert first","Extrovert","distant","pat_int","I felt distant <br>from them"
11566067,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised","3","Introvert first","Introvert","understood","pat_int","I felt that <br>they understood me"
11566067,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised","5","Introvert first","Extrovert","understood","pat_int","I felt that <br>they understood me"
11566067,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised","4","Introvert first","Introvert","different","pat_int","I felt that they were <br>different from me"
11566067,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised","1","Introvert first","Extrovert","different","pat_int","I felt that they were <br>different from me"
11566067,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised","2","Introvert first","Introvert","chat-again","pat_int","I would chat <br>with them again"
11566067,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised","5","Introvert first","Extrovert","chat-again","pat_int","I would chat <br>with them again"
11566069,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised","4","Introvert first","Introvert","similar","pat_int","I felt that <br>we are similar"
11566069,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised","5","Introvert first","Extrovert","similar","pat_int","I felt that <br>we are similar"
11566069,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised","4","Introvert first","Introvert","enjoy","pat_int","I enjoyed our <br>conversation"
11566069,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised","5","Introvert first","Extrovert","enjoy","pat_int","I enjoyed our <br>conversation"
11566069,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised","2","Introvert first","Introvert","distant","pat_int","I felt distant <br>from them"
11566069,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised","2","Introvert first","Extrovert","distant","pat_int","I felt distant <br>from them"
11566069,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised","4","Introvert first","Introvert","understood","pat_int","I felt that <br>they understood me"
11566069,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised","4","Introvert first","Extrovert","understood","pat_int","I felt that <br>they understood me"
11566069,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised","2","Introvert first","Introvert","different","pat_int","I felt that they were <br>different from me"
11566069,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised","1","Introvert first","Extrovert","different","pat_int","I felt that they were <br>different from me"
11566069,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised","4","Introvert first","Introvert","chat-again","pat_int","I would chat <br>with them again"
11566069,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised","4","Introvert first","Extrovert","chat-again","pat_int","I would chat <br>with them again"
11566073,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised","5","Introvert first","Introvert","similar","pat_int","I felt that <br>we are similar"
11566073,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised","1","Introvert first","Extrovert","similar","pat_int","I felt that <br>we are similar"
11566073,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised","5","Introvert first","Introvert","enjoy","pat_int","I enjoyed our <br>conversation"
11566073,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised","2","Introvert first","Extrovert","enjoy","pat_int","I enjoyed our <br>conversation"
11566073,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised","1","Introvert first","Introvert","distant","pat_int","I felt distant <br>from them"
11566073,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised","5","Introvert first","Extrovert","distant","pat_int","I felt distant <br>from them"
11566073,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised","5","Introvert first","Introvert","understood","pat_int","I felt that <br>they understood me"
11566073,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised","2","Introvert first","Extrovert","understood","pat_int","I felt that <br>they understood me"
11566073,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised","1","Introvert first","Introvert","different","pat_int","I felt that they were <br>different from me"
11566073,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised","5","Introvert first","Extrovert","different","pat_int","I felt that they were <br>different from me"
11566073,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised","5","Introvert first","Introvert","chat-again","pat_int","I would chat <br>with them again"
11566073,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised","1","Introvert first","Extrovert","chat-again","pat_int","I would chat <br>with them again"
11566074,"complete","A","A_1AlexExt_2PatInt","similar-alex-quantised","2","Extrovert first","Extrovert","similar","alex_ext","I felt that <br>we are similar"
11566074,"complete","A","A_1AlexExt_2PatInt","similar-pat-quantised","2","Extrovert first","Introvert","similar","alex_ext","I felt that <br>we are similar"
11566074,"complete","A","A_1AlexExt_2PatInt","enjoy-alex-quantised","4","Extrovert first","Extrovert","enjoy","alex_ext","I enjoyed our <br>conversation"
11566074,"complete","A","A_1AlexExt_2PatInt","enjoy-pat-quantised","4","Extrovert first","Introvert","enjoy","alex_ext","I enjoyed our <br>conversation"
11566074,"complete","A","A_1AlexExt_2PatInt","distant-alex-quantised","2","Extrovert first","Extrovert","distant","alex_ext","I felt distant <br>from them"
11566074,"complete","A","A_1AlexExt_2PatInt","distant-pat-quantised","4","Extrovert first","Introvert","distant","alex_ext","I felt distant <br>from them"
11566074,"complete","A","A_1AlexExt_2PatInt","understood-alex-quantised","2","Extrovert first","Extrovert","understood","alex_ext","I felt that <br>they understood me"
11566074,"complete","A","A_1AlexExt_2PatInt","understood-pat-quantised","2","Extrovert first","Introvert","understood","alex_ext","I felt that <br>they understood me"
11566074,"complete","A","A_1AlexExt_2PatInt","different-alex-quantised","4","Extrovert first","Extrovert","different","alex_ext","I felt that they were <br>different from me"
11566074,"complete","A","A_1AlexExt_2PatInt","different-pat-quantised","4","Extrovert first","Introvert","different","alex_ext","I felt that they were <br>different from me"
11566074,"complete","A","A_1AlexExt_2PatInt","chat-again-alex-quantised","2","Extrovert first","Extrovert","chat-again","alex_ext","I would chat <br>with them again"
11566074,"complete","A","A_1AlexExt_2PatInt","chat-again-pat-quantised","2","Extrovert first","Introvert","chat-again","alex_ext","I would chat <br>with them again"
11566081,"complete","A","A_1AlexExt_2PatInt","similar-alex-quantised","4","Extrovert first","Extrovert","similar","alex_ext","I felt that <br>we are similar"
11566081,"complete","A","A_1AlexExt_2PatInt","similar-pat-quantised","5","Extrovert first","Introvert","similar","alex_ext","I felt that <br>we are similar"
11566081,"complete","A","A_1AlexExt_2PatInt","enjoy-alex-quantised","5","Extrovert first","Extrovert","enjoy","alex_ext","I enjoyed our <br>conversation"
11566081,"complete","A","A_1AlexExt_2PatInt","enjoy-pat-quantised","5","Extrovert first","Introvert","enjoy","alex_ext","I enjoyed our <br>conversation"
11566081,"complete","A","A_1AlexExt_2PatInt","distant-alex-quantised","2","Extrovert first","Extrovert","distant","alex_ext","I felt distant <br>from them"
11566081,"complete","A","A_1AlexExt_2PatInt","distant-pat-quantised","1","Extrovert first","Introvert","distant","alex_ext","I felt distant <br>from them"
11566081,"complete","A","A_1AlexExt_2PatInt","understood-alex-quantised","4","Extrovert first","Extrovert","understood","alex_ext","I felt that <br>they understood me"
11566081,"complete","A","A_1AlexExt_2PatInt","understood-pat-quantised","4","Extrovert first","Introvert","understood","alex_ext","I felt that <br>they understood me"
11566081,"complete","A","A_1AlexExt_2PatInt","different-alex-quantised","1","Extrovert first","Extrovert","different","alex_ext","I felt that they were <br>different from me"
11566081,"complete","A","A_1AlexExt_2PatInt","different-pat-quantised","1","Extrovert first","Introvert","different","alex_ext","I felt that they were <br>different from me"
11566081,"complete","A","A_1AlexExt_2PatInt","chat-again-alex-quantised","5","Extrovert first","Extrovert","chat-again","alex_ext","I would chat <br>with them again"
11566081,"complete","A","A_1AlexExt_2PatInt","chat-again-pat-quantised","5","Extrovert first","Introvert","chat-again","alex_ext","I would chat <br>with them again"
11566083,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised","4","Introvert first","Introvert","similar","pat_int","I felt that <br>we are similar"
11566083,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised","2","Introvert first","Extrovert","similar","pat_int","I felt that <br>we are similar"
11566083,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised","4","Introvert first","Introvert","enjoy","pat_int","I enjoyed our <br>conversation"
11566083,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised","2","Introvert first","Extrovert","enjoy","pat_int","I enjoyed our <br>conversation"
11566083,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised","2","Introvert first","Introvert","distant","pat_int","I felt distant <br>from them"
11566083,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised","5","Introvert first","Extrovert","distant","pat_int","I felt distant <br>from them"
11566083,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised","4","Introvert first","Introvert","understood","pat_int","I felt that <br>they understood me"
11566083,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised","2","Introvert first","Extrovert","understood","pat_int","I felt that <br>they understood me"
11566083,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised","4","Introvert first","Introvert","different","pat_int","I felt that they were <br>different from me"
11566083,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised","5","Introvert first","Extrovert","different","pat_int","I felt that they were <br>different from me"
11566083,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised","4","Introvert first","Introvert","chat-again","pat_int","I would chat <br>with them again"
11566083,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised","2","Introvert first","Extrovert","chat-again","pat_int","I would chat <br>with them again"
11566084,"complete","A","A_1AlexExt_2PatInt","similar-alex-quantised","2","Extrovert first","Extrovert","similar","alex_ext","I felt that <br>we are similar"
11566084,"complete","A","A_1AlexExt_2PatInt","similar-pat-quantised","2","Extrovert first","Introvert","similar","alex_ext","I felt that <br>we are similar"
11566084,"complete","A","A_1AlexExt_2PatInt","enjoy-alex-quantised","2","Extrovert first","Extrovert","enjoy","alex_ext","I enjoyed our <br>conversation"
11566084,"complete","A","A_1AlexExt_2PatInt","enjoy-pat-quantised","2","Extrovert first","Introvert","enjoy","alex_ext","I enjoyed our <br>conversation"
11566084,"complete","A","A_1AlexExt_2PatInt","distant-alex-quantised","4","Extrovert first","Extrovert","distant","alex_ext","I felt distant <br>from them"
11566084,"complete","A","A_1AlexExt_2PatInt","distant-pat-quantised","4","Extrovert first","Introvert","distant","alex_ext","I felt distant <br>from them"
11566084,"complete","A","A_1AlexExt_2PatInt","understood-alex-quantised","3","Extrovert first","Extrovert","understood","alex_ext","I felt that <br>they understood me"
11566084,"complete","A","A_1AlexExt_2PatInt","understood-pat-quantised","2","Extrovert first","Introvert","understood","alex_ext","I felt that <br>they understood me"
11566084,"complete","A","A_1AlexExt_2PatInt","different-alex-quantised","3","Extrovert first","Extrovert","different","alex_ext","I felt that they were <br>different from me"
11566084,"complete","A","A_1AlexExt_2PatInt","different-pat-quantised","3","Extrovert first","Introvert","different","alex_ext","I felt that they were <br>different from me"
11566084,"complete","A","A_1AlexExt_2PatInt","chat-again-alex-quantised","2","Extrovert first","Extrovert","chat-again","alex_ext","I would chat <br>with them again"
11566084,"complete","A","A_1AlexExt_2PatInt","chat-again-pat-quantised","2","Extrovert first","Introvert","chat-again","alex_ext","I would chat <br>with them again"
11566088,"complete","A","A_1AlexExt_2PatInt","similar-alex-quantised","5","Extrovert first","Extrovert","similar","alex_ext","I felt that <br>we are similar"
11566088,"complete","A","A_1AlexExt_2PatInt","similar-pat-quantised","4","Extrovert first","Introvert","similar","alex_ext","I felt that <br>we are similar"
11566088,"complete","A","A_1AlexExt_2PatInt","enjoy-alex-quantised","5","Extrovert first","Extrovert","enjoy","alex_ext","I enjoyed our <br>conversation"
11566088,"complete","A","A_1AlexExt_2PatInt","enjoy-pat-quantised","4","Extrovert first","Introvert","enjoy","alex_ext","I enjoyed our <br>conversation"
11566088,"complete","A","A_1AlexExt_2PatInt","distant-alex-quantised","1","Extrovert first","Extrovert","distant","alex_ext","I felt distant <br>from them"
11566088,"complete","A","A_1AlexExt_2PatInt","distant-pat-quantised","2","Extrovert first","Introvert","distant","alex_ext","I felt distant <br>from them"
11566088,"complete","A","A_1AlexExt_2PatInt","understood-alex-quantised","5","Extrovert first","Extrovert","understood","alex_ext","I felt that <br>they understood me"
11566088,"complete","A","A_1AlexExt_2PatInt","understood-pat-quantised","4","Extrovert first","Introvert","understood","alex_ext","I felt that <br>they understood me"
11566088,"complete","A","A_1AlexExt_2PatInt","different-alex-quantised","1","Extrovert first","Extrovert","different","alex_ext","I felt that they were <br>different from me"
11566088,"complete","A","A_1AlexExt_2PatInt","different-pat-quantised","2","Extrovert first","Introvert","different","alex_ext","I felt that they were <br>different from me"
11566088,"complete","A","A_1AlexExt_2PatInt","chat-again-alex-quantised","5","Extrovert first","Extrovert","chat-again","alex_ext","I would chat <br>with them again"
11566088,"complete","A","A_1AlexExt_2PatInt","chat-again-pat-quantised","4","Extrovert first","Introvert","chat-again","alex_ext","I would chat <br>with them again"
11566089,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised","4","Introvert first","Introvert","similar","pat_int","I felt that <br>we are similar"
11566089,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised","3","Introvert first","Extrovert","similar","pat_int","I felt that <br>we are similar"
11566089,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised","4","Introvert first","Introvert","enjoy","pat_int","I enjoyed our <br>conversation"
11566089,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised","4","Introvert first","Extrovert","enjoy","pat_int","I enjoyed our <br>conversation"
11566089,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised","3","Introvert first","Introvert","distant","pat_int","I felt distant <br>from them"
11566089,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised","3","Introvert first","Extrovert","distant","pat_int","I felt distant <br>from them"
11566089,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised","5","Introvert first","Introvert","understood","pat_int","I felt that <br>they understood me"
11566089,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised","4","Introvert first","Extrovert","understood","pat_int","I felt that <br>they understood me"
11566089,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised","5","Introvert first","Introvert","different","pat_int","I felt that they were <br>different from me"
11566089,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised","5","Introvert first","Extrovert","different","pat_int","I felt that they were <br>different from me"
11566089,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised","4","Introvert first","Introvert","chat-again","pat_int","I would chat <br>with them again"
11566089,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised","3","Introvert first","Extrovert","chat-again","pat_int","I would chat <br>with them again"
11566109,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised","5","Introvert first","Introvert","similar","pat_int","I felt that <br>we are similar"
11566109,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised","3","Introvert first","Extrovert","similar","pat_int","I felt that <br>we are similar"
11566109,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised","5","Introvert first","Introvert","enjoy","pat_int","I enjoyed our <br>conversation"
11566109,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised","3","Introvert first","Extrovert","enjoy","pat_int","I enjoyed our <br>conversation"
11566109,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised","1","Introvert first","Introvert","distant","pat_int","I felt distant <br>from them"
11566109,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised","3","Introvert first","Extrovert","distant","pat_int","I felt distant <br>from them"
11566109,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised","5","Introvert first","Introvert","understood","pat_int","I felt that <br>they understood me"
11566109,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised","3","Introvert first","Extrovert","understood","pat_int","I felt that <br>they understood me"
11566109,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised","1","Introvert first","Introvert","different","pat_int","I felt that they were <br>different from me"
11566109,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised","4","Introvert first","Extrovert","different","pat_int","I felt that they were <br>different from me"
11566109,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised","5","Introvert first","Introvert","chat-again","pat_int","I would chat <br>with them again"
11566109,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised","3","Introvert first","Extrovert","chat-again","pat_int","I would chat <br>with them again"
11566140,"complete","A","A_1AlexExt_2PatInt","similar-alex-quantised","4","Extrovert first","Extrovert","similar","alex_ext","I felt that <br>we are similar"
11566140,"complete","A","A_1AlexExt_2PatInt","similar-pat-quantised","2","Extrovert first","Introvert","similar","alex_ext","I felt that <br>we are similar"
11566140,"complete","A","A_1AlexExt_2PatInt","enjoy-alex-quantised","5","Extrovert first","Extrovert","enjoy","alex_ext","I enjoyed our <br>conversation"
11566140,"complete","A","A_1AlexExt_2PatInt","enjoy-pat-quantised","2","Extrovert first","Introvert","enjoy","alex_ext","I enjoyed our <br>conversation"
11566140,"complete","A","A_1AlexExt_2PatInt","distant-alex-quantised","2","Extrovert first","Extrovert","distant","alex_ext","I felt distant <br>from them"
11566140,"complete","A","A_1AlexExt_2PatInt","distant-pat-quantised","4","Extrovert first","Introvert","distant","alex_ext","I felt distant <br>from them"
11566140,"complete","A","A_1AlexExt_2PatInt","understood-alex-quantised","4","Extrovert first","Extrovert","understood","alex_ext","I felt that <br>they understood me"
11566140,"complete","A","A_1AlexExt_2PatInt","understood-pat-quantised","3","Extrovert first","Introvert","understood","alex_ext","I felt that <br>they understood me"
11566140,"complete","A","A_1AlexExt_2PatInt","different-alex-quantised","2","Extrovert first","Extrovert","different","alex_ext","I felt that they were <br>different from me"
11566140,"complete","A","A_1AlexExt_2PatInt","different-pat-quantised","4","Extrovert first","Introvert","different","alex_ext","I felt that they were <br>different from me"
11566140,"complete","A","A_1AlexExt_2PatInt","chat-again-alex-quantised","5","Extrovert first","Extrovert","chat-again","alex_ext","I would chat <br>with them again"
11566140,"complete","A","A_1AlexExt_2PatInt","chat-again-pat-quantised","2","Extrovert first","Introvert","chat-again","alex_ext","I would chat <br>with them again"
11566142,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised","4","Introvert first","Introvert","similar","pat_int","I felt that <br>we are similar"
11566142,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised","1","Introvert first","Extrovert","similar","pat_int","I felt that <br>we are similar"
11566142,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised","4","Introvert first","Introvert","enjoy","pat_int","I enjoyed our <br>conversation"
11566142,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised","1","Introvert first","Extrovert","enjoy","pat_int","I enjoyed our <br>conversation"
11566142,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised","2","Introvert first","Introvert","distant","pat_int","I felt distant <br>from them"
11566142,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised","4","Introvert first","Extrovert","distant","pat_int","I felt distant <br>from them"
11566142,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised","4","Introvert first","Introvert","understood","pat_int","I felt that <br>they understood me"
11566142,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised","2","Introvert first","Extrovert","understood","pat_int","I felt that <br>they understood me"
11566142,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised","2","Introvert first","Introvert","different","pat_int","I felt that they were <br>different from me"
11566142,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised","4","Introvert first","Extrovert","different","pat_int","I felt that they were <br>different from me"
11566142,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised","4","Introvert first","Introvert","chat-again","pat_int","I would chat <br>with them again"
11566142,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised","2","Introvert first","Extrovert","chat-again","pat_int","I would chat <br>with them again"
11566193,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised","4","Introvert first","Introvert","similar","pat_int","I felt that <br>we are similar"
11566193,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised","5","Introvert first","Extrovert","similar","pat_int","I felt that <br>we are similar"
